date,institutional,other,individual,foreign,total,ticker
2014.9.30,-24330440150,521056050,23494669500,314714600,0,012450
2014.10.31,-2037458600,2076316400,30884685350,-30923543150,0,012450
2014.11.30,41595768550,-1315144950,39547311550,-79827935150,0,012450
2014.12.31,-7630883400,-548478750,4853141300,3326220850,0,012450
2015.1.31,-12400772300,1097299650,18588950250,-7285477600,0,012450
2015.2.28,16138393350,485693800,5932345650,-22556432800,0,012450
2015.3.31,-6500525400,-197884900,34265967650,-27567557350,0,012450
2015.4.30,21531064250,-750010300,-13118439550,-7662614400,0,012450
2015.5.31,-8148676900,2275235300,24371748650,-18498307050,0,012450
2015.6.30,36315996100,2949955100,-56544061350,17278110150,0,012450
2015.7.31,46748006800,634266600,-73423425150,26041151750,0,012450
2015.8.31,5633227700,-1327638000,15818123600,-20123713300,0,012450
2015.9.30,13578377500,486484850,-9843481150,-4221381200,0,012450
2015.10.31,-1264143200,-3414285200,-40182769800,44861198200,0,012450
2015.11.30,-3447165050,-1116499950,-35870744650,40434409650,0,012450
2015.12.31,17780224050,-370315200,-3951368200,-13458540650,0,012450
2016.1.31,3018725350,54050300,10634954100,-13707729750,0,012450
2016.2.29,14230140550,27090250,-46473339650,32216108850,0,012450
2016.3.31,-9559673000,-2629374900,-19922573950,32111621850,0,012450
2016.4.30,11747584550,-114774200,-15060624200,3427813850,0,012450
2016.5.31,-8327694050,-202499350,-39906941700,48437135100,0,012450
2016.6.30,-15430909800,198138650,-30742589950,45975361100,0,012450
2016.7.31,-28970500350,1251712700,-37770563400,65489351050,0,012450
2016.8.31,-64288298100,-2543442300,-40058518500,1.0689E+11,0,012450
2016.9.30,-20175062000,-3426666300,-21357597300,44959325600,0,012450
2016.10.31,-54954679500,-744215400,-35524718300,91223613200,0,012450
2016.11.30,-1.10307E+11,1037799150,56720175400,52549220650,0,012450
2016.12.31,-11715591000,-1330744150,66938497450,-53892162300,0,012450
2017.1.31,-13366896100,2290454500,30447707350,-19371265750,0,012450
2017.2.28,18239026050,5466018450,4354657900,-28059702400,0,012450
2017.3.31,8194106750,6394190300,-22533173100,7944876050,0,012450
2017.4.30,747340100,5340069450,-66863924150,60776514600,0,012450
2017.5.31,-26042044800,6685315150,11378117800,7978611850,0,012450
2017.6.30,-68347553500,174122300,54680545500,13492885700,0,012450
