date,market_cap,volume,trading_value,shares,ticker
2013.12.31,2.90764E+12,14241370,1.26105E+11,326700891,006800
2014.1.31,2.81289E+12,16393414,1.42941E+11,326700891,006800
2014.2.28,2.79003E+12,22673032,1.88361E+11,326700891,006800
2014.3.31,2.67895E+12,21440473,1.76201E+11,326700891,006800
2014.4.30,2.76389E+12,36481042,3.1467E+11,326700891,006800
2014.5.31,2.83903E+12,23552632,2.03751E+11,326700891,006800
2014.6.30,2.84883E+12,18424697,1.59478E+11,326700891,006800
2014.7.31,3.41402E+12,60403147,5.85158E+11,326700891,006800
2014.8.31,3.85507E+12,53006058,5.90643E+11,326700891,006800
2014.9.30,3.51203E+12,32576481,3.7848E+11,326700891,006800
2014.10.31,3.65905E+12,35255329,3.77902E+11,326700891,006800
2014.11.30,3.56104E+12,31737900,3.5892E+11,326700891,006800
2014.12.31,3.21147E+12,23135654,2.40609E+11,326700891,006800
2015.1.31,3.29968E+12,33614275,3.30525E+11,326700891,006800
2015.2.28,3.47936E+12,22777443,2.34943E+11,326700891,006800
2015.3.31,4.23078E+12,61233801,7.21308E+11,326700891,006800
2015.4.30,5.50491E+12,110906236,1.8022E+12,326700891,006800
2015.5.31,4.67182E+12,74133601,1.13588E+12,326700891,006800
2015.6.30,4.98219E+12,70250206,1.05306E+12,326700891,006800
2015.7.31,4.73716E+12,57988853,8.7718E+11,326700891,006800
2015.8.31,4.05109E+12,50276182,6.52836E+11,326700891,006800
2015.9.30,3.88774E+12,43689019,5.33018E+11,326700891,006800
2015.10.31,3.62638E+12,40894938,4.90646E+11,326700891,006800
2015.11.30,3.38135E+12,28238466,3.04605E+11,326700891,006800
2015.12.31,3.09386E+12,35665804,3.63966E+11,326700891,006800
2016.1.31,2.55807E+12,51510116,4.16895E+11,326700891,006800
2016.2.29,2.61034E+12,32663869,2.53038E+11,326700891,006800
2016.3.31,2.70182E+12,42115781,3.56364E+11,326700891,006800
2016.4.30,2.70182E+12,36212202,2.93934E+11,326700891,006800
2016.5.31,2.59074E+12,50532654,4.21466E+11,326700891,006800
2016.6.30,2.545E+12,35807727,2.86703E+11,326700891,006800
2016.7.31,2.96644E+12,41327221,3.53103E+11,326700891,006800
2016.8.31,2.59727E+12,35779775,3.06913E+11,326700891,006800
2016.9.30,2.55153E+12,18139428,1.43704E+11,326700891,006800
2016.10.31,2.53193E+12,18176458,1.41943E+11,326700891,006800
2016.11.30,2.27057E+12,27089158,2.02872E+11,326700891,006800
2016.12.31,2.36531E+12,29411904,2.09243E+11,326700891,006800
2017.1.31,5.87025E+12,68015199,5.76073E+11,666316408,006800
2017.2.28,5.95021E+12,72436467,6.48652E+11,666316408,006800
2017.3.31,6.0235E+12,76317302,7.07085E+11,666316408,006800
